"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"01",32852320.00,30895310.00,6576425.00,24318885.00,1957015.00,32852320.00,25720175.00,6775765.00,356380.00,27259525.00,5485395.00,6968935.00,14805190.00,27259525.00,17990080.00,16595030.00,1395045.00,9269440.00,15385940.00,11393145.00,867050.00,1851525.00,880815.00,201780.00,191625.00,13319250.00,9185845.00,4078225.00,55180.00,32386170.00,6726315.00,21141925.00,4517935.00,4812120.00,1162780.00,3044395.00,604945.00
"10",507270.00,502750.00,93100.00,409650.00,4520.00,507270.00,496400.00,9160.00,1705.00,431045.00,120640.00,100215.00,210190.00,431050.00,255890.00,218625.00,37265.00,175155.00,208420.00,165345.00,18645.00,4855.00,12975.00,390.00,6210.00,208840.00,161865.00,46545.00,435.00,504110.00,92610.00,335245.00,76255.00,90245.00,20820.00,52455.00,16975.00
"11",137375.00,133245.00,28225.00,105015.00,4130.00,137380.00,129385.00,7085.00,905.00,114200.00,24860.00,29970.00,59370.00,114200.00,78055.00,68635.00,9425.00,36140.00,64005.00,53235.00,5485.00,845.00,3410.00,210.00,815.00,56460.00,41455.00,14910.00,95.00,136875.00,28885.00,86985.00,21010.00,21570.00,5190.00,12020.00,4360.00
"12",906175.00,884065.00,168845.00,715220.00,22110.00,906175.00,851035.00,48275.00,6865.00,768060.00,171510.00,183315.00,413240.00,768060.00,484585.00,435895.00,48690.00,283475.00,408570.00,313295.00,32190.00,27015.00,27930.00,2760.00,5380.00,390280.00,276200.00,111870.00,2210.00,896640.00,168555.00,584325.00,143760.00,156245.00,35250.00,95070.00,25920.00
"13",735835.00,722470.00,138285.00,584185.00,13360.00,735835.00,704235.00,28465.00,3135.00,622435.00,154890.00,167820.00,299725.00,622440.00,395420.00,351935.00,43485.00,227015.00,332000.00,272600.00,28620.00,7330.00,17615.00,1610.00,4220.00,314035.00,237570.00,74670.00,1795.00,727865.00,138175.00,475760.00,113935.00,124885.00,29175.00,73045.00,22660.00
"24",7732525.00,7394705.00,1488435.00,5906265.00,337815.00,7732520.00,6690535.00,974895.00,67095.00,6474590.00,1436025.00,1404755.00,3633815.00,6474590.00,4183445.00,3880420.00,303025.00,2291145.00,3633090.00,2713295.00,136490.00,484600.00,215215.00,48870.00,34615.00,3395220.00,2077640.00,1311200.00,6380.00,7691755.00,1531220.00,5033420.00,1127115.00,1284595.00,250330.00,807240.00,227025.00
"35",12651790.00,11784075.00,2563970.00,9220105.00,867715.00,12651795.00,8906005.00,3611365.00,134425.00,10473665.00,1954520.00,2801805.00,5717340.00,10473670.00,6864985.00,6297000.00,567985.00,3608680.00,5841815.00,4235315.00,357110.00,818265.00,299095.00,69885.00,62150.00,4886655.00,3491320.00,1389915.00,5420.00,12600230.00,2674650.00,8177385.00,1748195.00,1745900.00,463950.00,1137315.00,144640.00
"46",1174345.00,1099405.00,260665.00,838735.00,74940.00,1174345.00,981205.00,184505.00,8635.00,946945.00,237610.00,262495.00,446835.00,946940.00,636840.00,597290.00,39545.00,310105.00,555310.00,409350.00,40080.00,51010.00,37530.00,9615.00,7725.00,465800.00,326435.00,127215.00,12155.00,1111380.00,252425.00,703965.00,154990.00,181945.00,55250.00,102195.00,24505.00
"47",1008760.00,969720.00,230070.00,739650.00,39040.00,1008760.00,931715.00,68775.00,8270.00,812505.00,200425.00,228755.00,383320.00,812500.00,562305.00,529100.00,33210.00,250190.00,469080.00,382000.00,28715.00,12990.00,31485.00,5705.00,8190.00,409575.00,297235.00,100995.00,11345.00,952135.00,214220.00,599035.00,138880.00,133060.00,38035.00,72660.00,22360.00
"48",3567975.00,3326540.00,780625.00,2545920.00,241435.00,3567975.00,2864240.00,644110.00,59620.00,2888735.00,550465.00,764390.00,1573880.00,2888735.00,2115640.00,1993225.00,122415.00,773100.00,1839360.00,1406145.00,103715.00,193120.00,91010.00,19535.00,25835.00,1390280.00,1022640.00,357950.00,9690.00,3519390.00,802170.00,2356095.00,361125.00,376820.00,107535.00,241025.00,28260.00
"59",4324455.00,3975535.00,794255.00,3181280.00,348925.00,4324455.00,3067585.00,1191875.00,64995.00,3646840.00,607660.00,1009400.00,2029785.00,3646840.00,2354250.00,2171470.00,182775.00,1292590.00,1984990.00,1415740.00,110695.00,250450.00,132205.00,42260.00,33635.00,1764635.00,1234715.00,524995.00,4920.00,4245795.00,823410.00,2789715.00,632665.00,696855.00,157245.00,451370.00,88235.00
"60",33325.00,31620.00,6845.00,24775.00,1695.00,33320.00,29230.00,3755.00,335.00,27495.00,5040.00,6655.00,15800.00,27495.00,21250.00,19160.00,2085.00,6250.00,18050.00,13260.00,1445.00,760.00,1670.00,515.00,395.00,14115.00,9385.00,4140.00,590.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"61",40800.00,39705.00,10835.00,28870.00,1095.00,40800.00,37585.00,2880.00,335.00,31755.00,9865.00,6525.00,15370.00,31755.00,23930.00,21200.00,2725.00,7825.00,20465.00,10710.00,2120.00,165.00,5595.00,410.00,1470.00,14700.00,7570.00,6975.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"62",31695.00,31470.00,12260.00,19210.00,225.00,31700.00,31025.00,610.00,60.00,21255.00,11890.00,2840.00,6525.00,21255.00,13485.00,11070.00,2415.00,7770.00,10795.00,2845.00,1735.00,120.00,5095.00,10.00,985.00,8660.00,1815.00,6840.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
