"COL0","COL1","COL2","COL3","COL4"
"2401",5380.00,4305.00,1075.00,0.00
"2402",7990.00,5950.00,2040.00,0.00
"2403",7740.00,5790.00,1950.00,0.00
"2404",5410.00,4130.00,1275.00,0.00
"2405",7840.00,6035.00,1810.00,0.00
"2406",6585.00,4780.00,1670.00,135.00
"2407",8060.00,6090.00,1970.00,0.00
"2408",10225.00,7285.00,2945.00,0.00
"2409",8320.00,6125.00,2195.00,0.00
"2410",24830.00,16160.00,8670.00,0.00
"2411",4160.00,3125.00,1035.00,0.00
"2412",14890.00,9910.00,4985.00,0.00
"2413",8955.00,6730.00,2220.00,0.00
"2414",8965.00,6945.00,2025.00,0.00
"2415",7095.00,5260.00,1835.00,0.00
"2416",5700.00,4300.00,1400.00,0.00
"2417",8105.00,6395.00,1705.00,0.00
"2418",10250.00,7340.00,2915.00,0.00
"2419",14540.00,11790.00,2750.00,0.00
"2420",2810.00,2370.00,440.00,0.00
"2421",10795.00,8820.00,1980.00,0.00
"2422",14085.00,12485.00,1595.00,0.00
"2423",258870.00,140475.00,118395.00,0.00
"2425",57765.00,40415.00,17355.00,0.00
"2426",14100.00,11160.00,2940.00,0.00
"2427",7880.00,5860.00,2020.00,0.00
"2428",7365.00,6120.00,1245.00,0.00
"2429",21795.00,15765.00,6035.00,0.00
"2430",9550.00,7565.00,1980.00,0.00
"2431",19485.00,14490.00,5000.00,0.00
"2432",9990.00,7365.00,2625.00,0.00
"2433",12115.00,9610.00,2510.00,0.00
"2434",21330.00,17010.00,4320.00,0.00
"2435",6095.00,4810.00,1285.00,0.00
"2436",24165.00,13865.00,10300.00,0.00
"2437",69200.00,40710.00,28490.00,0.00
"2438",8685.00,6740.00,1940.00,10.00
"2439",29910.00,20515.00,9395.00,0.00
"2440",6490.00,4645.00,1840.00,0.00
"2441",9210.00,7390.00,1820.00,0.00
"2442",12475.00,9245.00,3240.00,0.00
"2443",70570.00,35615.00,34960.00,0.00
"2444",7740.00,5610.00,2135.00,0.00
"2445",21845.00,15555.00,6290.00,0.00
"2446",24190.00,17405.00,6780.00,0.00
"2447",36705.00,22395.00,14310.00,0.00
"2448",6420.00,4675.00,1750.00,0.00
"2449",42975.00,26600.00,16370.00,0.00
"2450",9765.00,7195.00,2560.00,10.00
"2451",16130.00,12370.00,3755.00,0.00
"2452",17490.00,13520.00,3970.00,0.00
"2453",23265.00,16005.00,7255.00,0.00
"2454",36590.00,22220.00,14370.00,0.00
"2455",14410.00,10390.00,4020.00,0.00
"2456",48190.00,31830.00,16355.00,0.00
"2457",45075.00,36765.00,8310.00,0.00
"2458",169280.00,107600.00,61685.00,0.00
"2459",27910.00,22835.00,5075.00,0.00
"2460",47835.00,36180.00,11655.00,0.00
"2461",28235.00,16835.00,11405.00,0.00
"2462",22170.00,17875.00,4195.00,105.00
"2463",19565.00,15255.00,4310.00,0.00
"2464",55175.00,44780.00,10400.00,0.00
"2465",154455.00,107065.00,47390.00,0.00
"2466",849440.00,333685.00,515755.00,0.00
"2467",61905.00,50015.00,11895.00,0.00
"2468",10240.00,8010.00,2230.00,0.00
"2469",9010.00,7115.00,1900.00,0.00
"2470",27645.00,17200.00,10435.00,0.00
"2471",53290.00,44005.00,9285.00,0.00
"2472",38100.00,29015.00,9085.00,0.00
"2473",58055.00,43070.00,14985.00,0.00
"2474",15765.00,11475.00,4290.00,0.00
"2475",49525.00,32280.00,17245.00,0.00
"2476",14160.00,10180.00,3980.00,0.00
"2477",19530.00,15235.00,4295.00,0.00
"2478",20860.00,15435.00,5420.00,0.00
"2479",16000.00,11640.00,4355.00,0.00
"2480",10070.00,7810.00,2250.00,0.00
"2481",112755.00,72480.00,40275.00,0.00
"2482",17445.00,15775.00,1675.00,0.00
"2483",9245.00,7185.00,2040.00,30.00
"2484",6070.00,4835.00,1235.00,0.00
"2485",7060.00,5375.00,1580.00,105.00
"2486",17985.00,11180.00,6810.00,0.00
"2487",9015.00,6845.00,2170.00,0.00
"2488",10150.00,7195.00,2815.00,145.00
"2489",18370.00,11585.00,6470.00,310.00
"2490",6320.00,3695.00,1955.00,660.00
"2491",13650.00,9670.00,3805.00,170.00
"2492",10895.00,7745.00,3145.00,0.00
"2493",22135.00,16065.00,6070.00,0.00
"2494",72595.00,47070.00,25525.00,0.00
"2495",5015.00,3770.00,1245.00,0.00
"2496",13695.00,9880.00,3365.00,450.00
"2497",16655.00,10665.00,5125.00,865.00
"2498",4415.00,3130.00,655.00,635.00
"2499",12930.00,4890.00,5295.00,2740.00
