"","census_id","RSS_code","census_type"
"1","2401","11","CD"
"25","2402","11","CD"
"68","2403","11","CD"
"114","2404","11","CD"
"155","2405","11","CD"
"200","2406","11","CD"
"253","2407","01","CD"
"307","2408","01","CD"
"368","2409","01","CD"
"425","2410","01","CD"
"528","2411","01","CD"
"558","2412","01","CD"
"640","2413","01","CD"
"688","2414","01","CD"
"753","2415","03","CD"
"794","2416","03","CD"
"836","2417","12","CD"
"881","2418","12","CD"
"941","2419","12","CD"
"1026","2420","03","CD"
"1046","2421","03","CD"
"1102","2422","03","CD"
"1174","2423","03","CD"
"2325","2425","12","CD"
"2581","2426","12","CD"
"2664","2427","12","CD"
"2722","2428","12","CD"
"2778","2429","12","CD"
"2874","2430","05","CD"
"2953","2431","12","CD"
"3055","2432","04","CD"
"3114","2433","12","CD"
"3181","2434","03","CD"
"3308","2435","04","CD"
"3360","2436","04","CD"
"3455","2437","04","CD"
"3763","2438","04","CD"
"3827","2439","04","CD"
"3998","2440","05","CD"
"4044","2441","05","CD"
"4108","2442","05","CD"
"4188","2443","05","CD"
"4458","2444","05","CD"
"4505","2445","05","CD"
"4602","2446","05","CD"
"4731","2447","05","CD"
"4910","2448","16","CD"
"4946","2449","04","CD"
"5157","2450","04","CD"
"5234","2451","04","CD"
"5345","2452","14","CD"
"5431","2453","16","CD"
"5537","2454","16","CD"
"6043","2457","16","CD"
"6244","2458","16","CD"
"7038","2459","16","CD"
"7199","2460","14","CD"
"7411","2461","14","CD"
"7523","2462","14","CD"
"7669","2463","14","CD"
"7771","2464","14","CD"
"8019","2465","13","CD"
"8704","2466","06","CD"
"12622","2467","16","CD"
"12905","2468","16","CD"
"12952","2469","16","CD"
"13029","2470","16","CD"
"13152","2471","16","CD"
"13342","2472","15","CD"
"13553","2473","15","CD"
"13793","2474","15","CD"
"13873","2475","15","CD"
"14037","2476","15","CD"
"14108","2477","15","CD"
"14187","2478","15","CD"
"14304","2479","15","CD"
"14393","2480","07","CD"
"14467","2481","07","CD"
"14908","2482","07","CD"
"15015","2483","07","CD"
"15077","2484","07","CD"
"15124","2485","08","CD"
"15182","2486","08","CD"
"15255","2487","08","CD"
"15318","2488","08","CD"
"15402","2489","08","CD"
"15497","2490","04","CD"
"15528","2491","02","CD"
"15610","2492","02","CD"
"15685","2493","02","CD"
"15818","2494","02","CD"
"16187","2495","09","CD"
"16228","2496","09","CD"
"16294","2497","09","CD"
"16391","2498","09","CD"
"5709","2455008","05","CSD"
"5720","2455015","05","CSD"
"5732","2455023","16","CSD"
"5743","2455030","16","CSD"
"5746","2455037","16","CSD"
"5754","2455048","16","CSD"
"5769","2455057","16","CSD"
"5778","2455065","16","CSD"
"5788","2456005","16","CSD"
"5790","2456010","16","CSD"
"5792","2456015","16","CSD"
"5794","2456023","16","CSD"
"5802","2456030","16","CSD"
"5804","2456035","16","CSD"
"5808","2456042","16","CSD"
"5812","2456050","16","CSD"
"5815","2456055","16","CSD"
"5820","2456060","16","CSD"
"5824","2456065","16","CSD"
"5838","2456083","16","CSD"
"6025","2456097","16","CSD"
"6031","2456105","05","CSD"
"16430","2499005","10","CSD"
"16437","2499010","18","CSD"
"16438","2499015","10","CSD"
"16443","2499020","10","CSD"
"16450","2499025","10","CSD"
"16468","2499030","18","CSD"
"16472","2499035","18","CSD"
"16475","2499040","18","CSD"
"16478","2499045","18","CSD"
"16481","2499050","18","CSD"
"16484","2499055","18","CSD"
"16496","2499060","10","CSD"
"16507","2499065","09","CSD"
"16512","2499070","18","CSD"
"16515","2499075","17","CSD"
"16517","2499080","17","CSD"
"16518","2499085","17","CSD"
"16519","2499090","17","CSD"
"16520","2499095","17","CSD"
"16523","2499100","17","CSD"
"16524","2499105","17","CSD"
"16525","2499110","17","CSD"
"16526","2499115","17","CSD"
"16527","2499120","17","CSD"
"16528","2499125","17","CSD"
"16529","2499130","17","CSD"
"16531","2499135","17","CSD"
"16532","2499140","17","CSD"
"16541","2499804","18","CSD"
"16549","2499806","18","CSD"
"16553","2499808","18","CSD"
"16555","2499810","18","CSD"
"16557","2499812","18","CSD"
"16559","2499814","18","CSD"
"16562","2499816","18","CSD"
"16564","2499818","18","CSD"
"16565","2499877","17","CSD"
"16569","2499878","17","CSD"
"16570","2499879","17","CSD"
"16571","2499883","17","CSD"
"16572","2499887","17","CSD"
"16573","2499888","17","CSD"
"16575","2499889","17","CSD"
"16576","2499890","17","CSD"
"16578","2499891","17","CSD"
"16581","2499892","17","CSD"
"16583","2499893","17","CSD"
"16586","2499894","17","CSD"
"16589","2499895","17","CSD"
"16594","2499902","17","CSD"
"16596","2499904","17","CSD"
"11","24990190","10","DA"
"2","24990233","18","DA"
"3","24990234","18","DA"
