"","Lowincome_total.CLSC_code","Lowincome_total.Nom","Lowincome_total.Den","Lowincome_total.Year"
"1",1111,1079.16,21160,2006
"2",1121,1860.93,32085,2006
"3",1131,1459.695,21155,2006
"4",1141,790.83,9090,2006
"5",1151,4883,51400,2006
"6",1161,1600.46,18610,2006
"7",1171,1805.665,21755,2006
"8",1181,1531.35,18675,2006
"9",2111,2086.335,29385,2006
"10",2121,3558.44,26165,4012
"11",2131,32861.595,49565,26078
"12",2141,130178.965,63595,42126
"13",2151,158119.78,74165,48144
"14",2161,10982.44,22505,18054
"15",3111,2079.89,45215,2006
"16",3121,41507.235,59895,32096
"17",3122,52707.85,40235,22066
"18",3123,155255.7,72890,34102
"19",3124,78283.02,34395,22066
"20",3125,125215.2,24800,36108
"21",3126,346107.71,57010,42126
"22",3131,269718.125,80875,72216
"23",3132,346145.625,92925,64192
"24",3133,144148.59,75510,36108
"25",3134,2771.15,29170,4012
"26",3141,647.445,12695,2006
"27",3142,814.215,15965,2006
"28",4111,951.335,12355,2006
"29",4121,1018.85,12425,2006
"30",4122,4669.23,11615,18054
"31",4131,21464.21,22810,24072
"32",4141,29280.72,63105,12036
"33",4151,317333.415,81305,46138
"34",4152,58618.155,45335,20060
"35",4161,1474.58,21685,2006
"36",4162,1180.075,18155,2006
"37",4171,8864.1,90450,2006
"38",4181,5394.9,64225,2006
"39",4182,1398.72,22560,2006
"40",5111,8352.44,48280,6018
"41",5121,10943.59,86170,4012
"42",5131,3023.96,44470,2006
"43",5141,1176.825,18105,2006
"44",5151,19120.745,143765,2006
"45",5161,1648.07,28415,2006
"46",5171,1296.28,14090,2006
"47",5181,1628.3,21425,2006
"48",5191,1615.79,21835,2006
"49",6111,35538.75,78975,12036
"50",6112,171391.84,81460,36108
"51",6113,4854,48540,2006
"52",6121,136575.36,57920,24072
"53",6122,243811.86,73860,36108
"54",6211,38052,47565,8024
"55",6212,305685.885,69935,36108
"56",6221,75642.745,30245,12036
"57",6222,63075.575,43055,20060
"58",6223,258480.75,32010,48144
"59",6224,500050.125,51525,58174
"60",6225,266072.775,53525,26078
"61",6311,123212.38,28495,26078
"62",6312,68391.54,29970,16048
"63",6313,308026.275,64725,38114
"64",6314,26036.325,13725,10030
"65",6321,193610.06,37660,36108
"66",6322,333416.52,50040,54162
"67",6323,253451.3,32980,44132
"68",6324,26536.65,9525,14042
"69",6411,216449.865,51255,38114
"70",6412,299889.92,79420,32096
"71",6421,340405.77,75545,42126
"72",6422,424720.45,82390,36108
"73",6431,381662.645,58835,52156
"74",6432,320778.9,45630,52156
"75",6511,216918.12,54420,28084
"76",6512,286265.07,71370,40120
"77",6521,76895.88,54305,22066
"78",6522,50195.2,40480,16048
"79",6523,84523.65,51855,24072
"80",6524,80194.875,40605,22066
"81",6531,406685.54,81110,44132
"82",6532,75944.425,39575,20060
"83",6533,308351.625,46195,40120
"84",7111,3116.4,19600,4012
"85",7121,1699.9,19100,2006
"86",7131,12298.32,26505,20060
"87",7151,6980.25,11350,20060
"88",7152,18811.41,15195,34102
"89",8111,1348.38,20430,2006
"90",8121,1421.91,23310,2006
"91",8131,3222.6,39300,2006
"92",8141,3128.795,39605,2006
"93",8151,14094.36,11985,40120
"94",8152,217.08,3240,6018
"95",9111,21.12,2640,6018
"96",9121,786.5,5500,10030
"97",9122,1826.765,6455,8024
"98",9123,1782.685,30215,2006
"99",9131,970.14,7030,8024
"100",9141,62923.34,24370,88264
"101",9151,583.245,4985,20060
"102",9161,326.865,4245,14042
"103",9171,0,0,2006
"104",10011,40.31,1390,2006
"105",10012,191.265,1555,2006
"106",10013,149.05,2710,2006
"107",10014,1164.59,9170,4012
"108",11111,780.495,12795,2006
"109",11112,1005.765,17645,2006
"110",11121,4004,11000,16048
"111",11131,344.84,2330,8024
"112",11132,3633.07,15265,6018
"113",11133,29.97,810,2006
"114",11141,10137.49,17270,18054
"115",11211,446.6,12760,2006
"116",12111,1256.78,26740,2006
"117",12112,97303.845,83955,38114
"118",12113,80675.42,48835,42126
"119",12114,1624.75,32495,2006
"120",12115,14266.96,25660,20060
"121",12121,3099.86,41890,2006
"122",12131,951.34,18295,2006
"123",12132,3159.65,48610,2006
"124",12141,1106.3,17020,2006
"125",12151,1309.35,22575,2006
"126",12152,1144.21,18455,2006
"127",13111,261725.28,118535,66198
"128",13112,52619.64,52410,26078
"129",13113,209122.32,84120,36108
"130",13114,677504.85,108055,82246
"131",14111,3802.545,46945,2006
"132",14112,3357.2,41965,2006
"133",14113,6101.46,56495,2006
"134",14114,3523.955,39595,2006
"135",14121,9194.76,127705,2006
"136",14122,8678.4,108480,2006
"137",15111,2912.1,34260,2006
"138",15121,3133.875,41785,2006
"139",15131,2658.08,35920,2006
"140",15141,2695.6,29300,2006
"141",15151,113348.97,99955,42126
"142",15161,49361.72,119810,18054
"143",15171,10362.715,141955,2006
"144",16111,136320.42,113790,14042
"145",16112,127600.65,76225,32096
"146",16121,26260.605,55755,16048
"147",16122,87602.4,105800,26078
"148",16211,220101.7,63650,34102
"149",16212,131967,64500,26078
"150",16213,9893.68,107540,4012
"151",16221,53563.28,99560,24072
"152",16222,6557.46,78065,2006
"153",16223,973.375,14975,2006
"154",16231,5166.97,48745,2006
"155",16311,6789.555,119115,2006
"156",16321,17607.315,53845,10030
"157",16331,1814.82,21605,2006
"158",16341,25841.92,62120,12036
"159",16342,40566.06,91365,14042
"160",16343,1263.33,23395,2006
"161",17011,0,0,14042
"162",17012,0,0,14042
"163",18011,0,0,18054
