"","clsc.pop.values.CLSC_code","clsc.pop.values.Total_population","clsc.pop.values.Year"
"1",1111,22085,2006
"2",1121,33305,2006
"3",1131,21785,2006
"4",1141,9475,2006
"5",1151,53195,2006
"6",1161,19365,2006
"7",1171,22245,2006
"8",1181,19200,2006
"9",2111,31960,2006
"10",2121,26495,2006
"11",2131,50440,2006
"12",2141,64685,2006
"13",2151,76190,2006
"14",2161,22850,2006
"15",3111,46505,2006
"16",3121,60465,2006
"17",3122,41110,2006
"18",3123,75065,2006
"19",3124,36620,2006
"20",3125,26110,2006
"21",3126,58465,2006
"22",3131,81585,2006
"23",3132,94195,2006
"24",3133,78660,2006
"25",3134,29875,2006
"26",3141,13190,2006
"27",3142,16375,2006
"28",4111,15450,2006
"29",4121,12670,2006
"30",4122,11805,2006
"31",4131,23600,2006
"32",4141,65185,2006
"33",4151,83810,2006
"34",4152,46400,2006
"35",4161,23005,2006
"36",4162,18805,2006
"37",4171,92980,2006
"38",4181,66245,2006
"39",4182,23160,2006
"40",5111,49930,2006
"41",5121,88230,2006
"42",5131,45310,2006
"43",5141,18470,2006
"44",5151,147430,2006
"45",5161,29025,2006
"46",5171,14465,2006
"47",5181,21745,2006
"48",5191,22340,2006
"49",6111,79910,2006
"50",6112,82635,2006
"51",6113,48930,2006
"52",6121,59480,2006
"53",6122,74780,2006
"54",6211,48845,2006
"55",6212,71240,2006
"56",6221,30260,2006
"57",6222,43585,2006
"58",6223,32770,2006
"59",6224,53185,2006
"60",6225,58665,2006
"61",6311,29435,2006
"62",6312,30415,2006
"63",6313,66090,2006
"64",6314,13925,2006
"65",6321,38475,2006
"66",6322,51310,2006
"67",6323,36560,2006
"68",6324,10515,2006
"69",6411,53315,2006
"70",6412,80585,2006
"71",6421,77560,2006
"72",6422,83875,2006
"73",6431,59385,2006
"74",6432,46750,2006
"75",6511,55020,2006
"76",6512,71725,2006
"77",6521,55520,2006
"78",6522,40885,2006
"79",6523,53680,2006
"80",6524,41885,2006
"81",6531,82700,2006
"82",6532,41035,2006
"83",6533,47385,2006
"84",7111,19825,2006
"85",7121,20520,2006
"86",7131,31115,2006
"87",7141,41530,2006
"88",7142,69370,2006
"89",7143,108730,2006
"90",7151,33940,2006
"91",7152,16070,2006
"92",8111,20795,2006
"93",8121,24275,2006
"94",8131,39920,2006
"95",8141,41900,2006
"96",8151,13275,2006
"97",8152,3535,2006
"98",9111,3355,2006
"99",9121,5850,2006
"100",9122,6455,2006
"101",9123,33050,2006
"102",9131,7650,2006
"103",9141,27040,2006
"104",9151,6385,2006
"105",9161,5500,2006
"106",9171,570,2006
"107",10011,1395,2006
"108",10012,1555,2006
"109",10013,2730,2006
"110",10014,9195,2006
"111",11111,14640,2006
"112",11112,17950,2006
"113",11121,11960,2006
"114",11131,2615,2006
"115",11132,15765,2006
"116",11133,815,2006
"117",11141,17500,2006
"118",11211,13090,2006
"119",12111,27425,2006
"120",12112,84700,2006
"121",12113,50710,2006
"122",12114,33330,2006
"123",12115,26020,2006
"124",12121,43390,2006
"125",12131,18790,2006
"126",12132,49610,2006
"127",12141,17600,2006
"128",12151,23200,2006
"129",12152,18900,2006
"130",13111,119670,2006
"131",13112,54645,2006
"132",13113,85065,2006
"133",13114,109350,2006
"134",14111,49715,2006
"135",14112,42555,2006
"136",14113,58355,2006
"137",14114,40320,2006
"138",14121,128465,2006
"139",14122,109635,2006
"140",15111,35000,2006
"141",15121,42895,2006
"142",15131,36575,2006
"143",15141,29990,2006
"144",15151,100930,2006
"145",15161,122520,2006
"146",15171,143370,2006
"147",16111,114980,2006
"148",16112,77025,2006
"149",16121,56585,2006
"150",16122,107665,2006
"151",16211,64345,2006
"152",16212,65700,2006
"153",16213,108940,2006
"154",16221,101110,2006
"155",16222,80695,2006
"156",16223,15290,2006
"157",16231,49935,2006
"158",16311,120395,2006
"159",16321,55435,2006
"160",16331,21945,2006
"161",16341,63145,2006
"162",16342,92215,2006
"163",16343,24110,2006
"164",17011,6100,2006
"165",17012,4670,2006
"166",18011,14140,2006
