"","Language_FrEn.CLSC_code","Language_FrEn.Nom","Language_FrEn.Den","Language_FrEn.Year"
"1",1111,20810,20810,2011
"2",1121,33705,33715,2011
"3",1131,20305,20310,2011
"4",1141,9055,9055,2011
"5",1151,54375,54395,2011
"6",1161,18445,18440,2011
"7",1171,21650,21650,2011
"8",1181,18360,18360,2011
"9",2111,31380,31375,2011
"10",2121,25760,25765,4022
"11",2131,51195,51190,34187
"12",2141,65205,65220,44242
"13",2151,76605,76650,50275
"14",2161,22100,22130,20110
"15",3111,48670,48700,2011
"16",3121,60495,60575,32176
"17",3122,46195,46335,64352
"18",3123,76575,76935,42231
"19",3124,34895,34985,22121
"20",3125,25130,25230,34187
"21",3126,57505,58050,40220
"22",3131,94555,94565,64352
"23",3132,102565,102700,60330
"24",3133,81880,81985,36198
"25",3134,32400,32405,4022
"26",3141,13140,13140,2011
"27",3142,16035,16040,2011
"28",4111,14525,14950,2011
"29",4121,12815,12820,2011
"30",4122,12250,12260,18099
"31",4131,23045,23055,24132
"32",4141,62655,62705,12066
"33",4151,86475,86630,46253
"34",4152,47245,47290,20110
"35",4161,22330,22345,2011
"36",4162,19540,19555,2011
"37",4171,97210,97415,2011
"38",4181,68440,68545,2011
"39",4182,23060,23075,2011
"40",5111,50785,50830,44242
"41",5121,93755,93935,6033
"42",5131,47980,48005,2011
"43",5141,18660,18670,2011
"44",5151,151655,152445,2011
"45",5161,29420,29425,2011
"46",5171,14495,14515,2011
"47",5181,21780,21785,2011
"48",5191,22070,22070,2011
"49",6111,79555,80300,12066
"50",6112,83995,85655,36198
"51",6113,48410,49425,2011
"52",6121,57990,58680,26143
"53",6122,71385,73460,38209
"54",6211,48410,49385,8044
"55",6212,69805,71545,38209
"56",6221,26060,29255,12066
"57",6222,43575,44615,20110
"58",6223,31485,32845,42231
"59",6224,50120,51755,60330
"60",6225,57265,58070,26143
"61",6311,31905,32445,30165
"62",6312,29160,30025,18099
"63",6313,64240,65360,40220
"64",6314,13450,13680,12066
"65",6321,37095,38175,36198
"66",6322,50650,50905,56308
"67",6323,35250,35740,44242
"68",6324,12570,13400,16088
"69",6411,49295,51780,40220
"70",6412,84920,89115,36198
"71",6421,74720,76760,42231
"72",6422,79435,82060,36198
"73",6431,57050,58895,54297
"74",6432,45075,45765,52286
"75",6511,51670,55110,28154
"76",6512,71970,75500,40220
"77",6521,54980,56540,24132
"78",6522,40865,41565,18099
"79",6523,51295,51590,24132
"80",6524,41120,41525,22121
"81",6531,81145,82305,48264
"82",6532,40680,41595,20110
"83",6533,46935,47355,42231
"84",7111,19825,19835,4022
"85",7121,20390,20395,2011
"86",7131,29230,29250,20110
"87",7151,12280,12285,20110
"88",7152,16400,16425,34187
"89",8111,20785,20790,2011
"90",8121,24025,24045,2011
"91",8131,40280,40290,2011
"92",8141,42415,42455,2011
"93",8151,13135,13135,46253
"94",8152,3120,3125,6033
"95",9111,3350,3415,16088
"96",9121,5590,5605,10055
"97",9122,5860,5865,10055
"98",9123,31595,31760,2011
"99",9131,7380,7375,10055
"100",9141,27330,27410,88484
"101",9151,6385,6485,24132
"102",9161,4625,4745,14077
"103",9171,520,590,4022
"104",10011,1300,1305,2011
"105",10012,1520,1520,2011
"106",10013,2150,2150,4022
"107",10014,9100,9110,4022
"108",11111,15070,15080,2011
"109",11112,17765,17765,2011
"110",11121,11640,11630,18099
"111",11131,2390,2395,8044
"112",11132,15970,15960,10055
"113",11133,760,765,2011
"114",11141,16935,16945,20110
"115",11211,12665,12670,2011
"116",12111,29175,29200,2011
"117",12112,90330,90350,46253
"118",12113,53010,53000,28154
"119",12114,34775,34775,2011
"120",12115,28660,28655,20110
"121",12121,42325,42340,2011
"122",12131,18930,18930,2011
"123",12132,50165,50185,2011
"124",12141,16850,16855,2011
"125",12151,22635,22645,2011
"126",12152,18275,18280,2011
"127",13111,130725,132220,68374
"128",13112,56945,57555,36198
"129",13113,85835,87215,36198
"130",13114,116695,120575,88484
"131",14111,48925,49170,2011
"132",14112,47965,48005,2011
"133",14113,62445,62625,2011
"134",14114,41205,41250,2011
"135",14121,148020,148315,2011
"136",14122,118775,118975,2011
"137",15111,34545,34555,2011
"138",15121,44695,44795,2011
"139",15131,39950,39975,2011
"140",15141,31685,31705,2011
"141",15151,111545,111765,26143
"142",15161,139185,139405,18099
"143",15171,151465,152635,2011
"144",16111,117915,121520,14077
"145",16112,78370,78935,34187
"146",16121,63215,63290,16088
"147",16122,112095,112185,26143
"148",16211,61340,61860,34187
"149",16212,66510,67000,28154
"150",16213,114775,114895,4022
"151",16221,108310,108400,24132
"152",16222,82640,82815,2011
"153",16223,15010,15025,2011
"154",16231,50250,50275,2011
"155",16311,138275,138785,2011
"156",16321,55130,55170,10055
"157",16331,21005,21025,2011
"158",16341,67885,68175,14077
"159",16342,99055,99410,14077
"160",16343,25885,26170,2011
"161",17011,5135,6715,26143
"162",17012,4770,5345,30165
"163",18011,13950,15590,36198
