"","Employment.HR_code","Employment.Nom","Employment.Den","Employment.Year"
"1",1011,127280,149100,2006
"2",1012,32140,43085,2006
"3",1013,27520,35975,2006
"4",1014,15065,19785,2006
"5",1100,66855,75155,2006
"6",1211,25810,28545,2006
"7",1212,26455,30405,2006
"8",1223,36950,40515,2006
"9",1234,34685,37600,2006
"10",1235,13365,15030,2006
"11",1246,21035,23245,2006
"12",1247,19560,22325,2006
"13",1258,46760,56270,2006
"14",1269,207530,221690,2006
"15",1301,95835,104975,2006
"16",1302,80000,87885,2006
"17",1303,81965,89390,2006
"18",1304,23490,26495,2006
"19",1305,10955,12750,2006
"20",1306,34000,38925,2006
"21",1307,18280,22265,2006
"22",2401,89380,99200,2006
"23",2402,121310,134540,2006
"24",2403,342820,361230,2006
"25",2404,224135,241680,2006
"26",2405,144495,154880,2006
"27",2406,892720,978780,2006
"28",2407,176325,188320,2006
"29",2408,65945,72675,2006
"30",2409,43385,49275,2006
"31",2410,7490,8400,2006
"32",2411,35200,42735,2006
"33",2412,205545,215215,2006
"34",2413,189865,200955,2006
"35",2414,217110,230070,2006
"36",2415,261515,277455,2006
"37",2416,706025,745575,2006
"38",2417,3735,4580,2006
"39",2418,5255,6270,2006
"40",3526,50720,55685,2006
"41",3527,63475,67540,2006
"42",3530,294155,313870,2006
"43",3531,43195,45690,2006
"44",3533,79115,83500,2006
"45",3534,54355,57800,2006
"46",3535,80585,85965,2006
"47",3536,238045,249765,2006
"48",3537,246340,263595,2006
"49",3538,73785,78540,2006
"50",3539,30680,32095,2006
"51",3540,53295,57430,2006
"52",3541,89525,95620,2006
"53",3542,62750,67100,2006
"54",3543,80160,85160,2006
"55",3544,217400,231415,2006
"56",3546,212225,225980,2006
"57",3547,55590,60255,2006
"58",3549,36410,39640,2006
"59",3551,429575,456475,2006
"60",3552,53915,56615,2006
"61",3553,609270,651200,2006
"62",3554,40950,42515,2006
"63",3555,63725,68625,2006
"64",3556,37555,40870,2006
"65",3557,46890,50255,2006
"66",3558,94075,99295,2006
"67",3560,246560,261205,2006
"68",3561,89285,97475,2006
"69",3562,76245,83025,2006
"70",3563,15015,16330,2006
"71",3565,257650,272525,2006
"72",3566,139005,145595,2006
"73",3568,187675,203770,2006
"74",3570,472790,499915,2006
"75",3595,1242215,1344825,2006
"76",4601,338745,357095,2006
"77",4602,77965,82190,2006
"78",4603,56905,60705,2006
"79",4604,23855,27880,2006
"80",4605,80110,82955,2006
"81",4701,28145,29070,2006
"82",4702,27475,28855,2006
"83",4703,23235,24000,2006
"84",4704,128100,134685,2006
"85",4705,26985,28380,2006
"86",4706,151560,159675,2006
"87",4707,23200,24030,2006
"88",4708,20370,21850,2006
"89",4709,33415,37000,2006
"90",4710,31940,34210,2006
"91",4711,5465,6685,2006
"92",4712,2650,3450,2006
"93",4713,715,915,2006
"94",4831,138320,144110,2006
"95",4832,702845,731630,2006
"96",4833,225485,234685,2006
"97",4834,586165,614325,2006
"98",4835,205035,215190,2006
"99",5911,37960,40250,2006
"100",5912,35990,38675,2006
"101",5913,151250,160290,2006
"102",5914,97605,105360,2006
"103",5921,125185,132740,2006
"104",5922,284390,301435,2006
"105",5923,321870,339140,2006
"106",5931,87180,92470,2006
"107",5932,316335,336670,2006
"108",5933,133180,140495,2006
"109",5941,181440,189475,2006
"110",5942,112420,120755,2006
"111",5943,52005,56275,2006
"112",5951,33855,38685,2006
"113",5952,71035,77965,2006
"114",5953,34695,36665,2006
"115",6001,17240,19050,2006
"116",6101,21335,23825,2006
"117",6201,10655,12605,2006
