"","Housing_type.HR_code","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1011,26020,114800,2006
"2",1012,5940,36985,2006
"3",1013,6610,31360,2006
"4",1014,2900,13305,2006
"5",1100,13665,53075,2006
"6",1211,4075,24760,2006
"7",1212,5070,25205,2006
"8",1223,8495,33380,2006
"9",1234,6480,29265,2006
"10",1235,3065,13600,2006
"11",1246,4360,19290,2006
"12",1247,3105,17895,2006
"13",1258,11940,50865,2006
"14",1269,56385,161995,2006
"15",1301,20040,78115,2006
"16",1302,17960,68325,2006
"17",1303,15480,66520,2006
"18",1304,5130,20740,2006
"19",1305,2725,11700,2006
"20",1306,6760,32330,2006
"21",1307,2975,18005,2006
"22",2401,25280,85675,2006
"23",2402,37860,114390,2006
"24",2403,123070,295295,2006
"25",2404,74735,210270,2006
"26",2405,49645,129345,2006
"27",2406,516125,831560,2006
"28",2407,42915,140175,2006
"29",2408,20420,60675,2006
"30",2409,10655,39180,2006
"31",2410,1615,6115,2006
"32",2411,9610,39320,2006
"33",2412,42650,160925,2006
"34",2413,44865,144200,2006
"35",2414,40530,169665,2006
"36",2415,55335,206745,2006
"37",2416,168180,547570,2006
"38",2417,2510,2600,2006
"39",2418,1275,3225,2006
"40",3526,13870,49510,2006
"41",3527,12575,47850,2006
"42",3530,34775,194660,2006
"43",3531,7585,32200,2006
"44",3533,12580,63505,2006
"45",3534,7390,40555,2006
"46",3535,11760,68020,2006
"47",3536,26750,157085,2006
"48",3537,61675,194455,2006
"49",3538,16210,62945,2006
"50",3539,4920,22895,2006
"51",3540,11755,43670,2006
"52",3541,22515,74715,2006
"53",3542,12415,51705,2006
"54",3543,13510,65065,2006
"55",3544,58620,170415,2006
"56",3546,41295,169490,2006
"57",3547,14065,51065,2006
"58",3549,5655,29365,2006
"59",3551,109250,321100,2006
"60",3552,9640,39330,2006
"61",3553,78600,359065,2006
"62",3554,7135,28550,2006
"63",3555,13420,53400,2006
"64",3556,9495,32990,2006
"65",3557,9060,39800,2006
"66",3558,18205,74350,2006
"67",3560,33510,179795,2006
"68",3561,24190,79165,2006
"69",3562,16105,65835,2006
"70",3563,3565,14455,2006
"71",3565,52265,178115,2006
"72",3566,21010,93465,2006
"73",3568,37010,150835,2006
"74",3570,32345,275545,2006
"75",3595,446855,979440,2006
"76",4601,90360,264635,2006
"77",4602,15230,63970,2006
"78",4603,5760,44495,2006
"79",4604,5830,20825,2006
"80",4605,9840,54325,2006
"81",4701,4215,21230,2006
"82",4702,5570,22350,2006
"83",4703,3275,16610,2006
"84",4704,26340,97550,2006
"85",4705,4470,23625,2006
"86",4706,34035,115540,2006
"87",4707,2715,16390,2006
"88",4708,2950,16940,2006
"89",4709,6835,27880,2006
"90",4710,5610,24565,2006
"91",4711,1320,5085,2006
"92",4712,1240,3205,2006
"93",4713,205,965,2006
"94",4831,23845,97815,2006
"95",4832,115910,459735,2006
"96",4833,34685,155005,2006
"97",4834,124215,407280,2006
"98",4835,29730,133365,2006
"99",5911,6560,32015,2006
"100",5912,6705,33400,2006
"101",5913,29765,131040,2006
"102",5914,17720,81330,2006
"103",5921,23250,93975,2006
"104",5922,64380,206415,2006
"105",5923,50370,217890,2006
"106",5931,14545,61435,2006
"107",5932,134315,258340,2006
"108",5933,28095,103675,2006
"109",5941,52100,151275,2006
"110",5942,23550,103705,2006
"111",5943,10515,45805,2006
"112",5951,7040,27790,2006
"113",5952,13030,54525,2006
"114",5953,6005,23475,2006
"115",6001,3825,12535,2006
"116",6101,6560,14230,2006
"117",6201,6080,7850,2006
