"","hr.pop.values.HR_code","hr.pop.values.Total_population","hr.pop.values.Year"
"1",1011,293410,2006
"2",1012,94740,2006
"3",1013,78755,2006
"4",1014,37140,2006
"5",1100,135825,2006
"6",1211,58300,2006
"7",1212,60815,2006
"8",1223,81425,2006
"9",1234,72415,2006
"10",1235,32045,2006
"11",1246,46510,2006
"12",1247,44820,2006
"13",1258,125370,2006
"14",1269,392405,2006
"15",1301,191840,2006
"16",1302,169775,2006
"17",1303,165400,2006
"18",1304,50080,2006
"19",1305,27745,2006
"20",1306,78940,2006
"21",1307,45790,2006
"22",2401,200545,2006
"23",2402,272555,2006
"24",2403,658165,2006
"25",2404,483090,2006
"26",2405,298150,2006
"27",2406,1854450,2006
"28",2407,341075,2006
"29",2408,143685,2006
"30",2409,95750,2006
"31",2410,14875,2006
"32",2411,94285,2006
"33",2412,393680,2006
"34",2413,368705,2006
"35",2414,429040,2006
"36",2415,511160,2006
"37",2416,1357725,2006
"38",2417,10770,2006
"39",2418,14140,2006
"40",3526,116240,2006
"41",3527,124610,2006
"42",3530,561250,2006
"43",3531,85345,2006
"44",3533,157760,2006
"45",3534,107775,2006
"46",3535,171660,2006
"47",3536,439260,2006
"48",3537,504560,2006
"49",3538,155965,2006
"50",3539,59330,2006
"51",3540,108585,2006
"52",3541,184410,2006
"53",3542,127490,2006
"54",3543,162985,2006
"55",3544,422330,2006
"56",3546,427420,2006
"57",3547,122850,2006
"58",3549,77915,2006
"59",3551,812130,2006
"60",3552,102760,2006
"61",3553,1159405,2006
"62",3554,74340,2006
"63",3555,132595,2006
"64",3556,80265,2006
"65",3557,98805,2006
"66",3558,190590,2006
"67",3560,479730,2006
"68",3561,192370,2006
"69",3562,160840,2006
"70",3563,33830,2006
"71",3565,478130,2006
"72",3566,254860,2006
"73",3568,393410,2006
"74",3570,892355,2006
"75",3595,2503280,2006
"76",4601,647915,2006
"77",4602,157510,2006
"78",4603,119215,2006
"79",4604,70550,2006
"80",4605,157750,2006
"81",4701,51795,2006
"82",4702,53530,2006
"83",4703,41480,2006
"84",4704,239535,2006
"85",4705,54925,2006
"86",4706,285905,2006
"87",4707,41410,2006
"88",4708,42135,2006
"89",4709,75505,2006
"90",4710,66765,2006
"91",4711,20230,2006
"92",4712,11035,2006
"93",4713,3430,2006
"94",4831,259805,2006
"95",4832,1208175,2006
"96",4833,409900,2006
"97",4834,1039505,2006
"98",4835,377125,2006
"99",5911,75225,2006
"100",5912,76955,2006
"101",5913,317310,2006
"102",5914,203065,2006
"103",5921,255275,2006
"104",5922,542150,2006
"105",5923,628305,2006
"106",5931,174460,2006
"107",5932,590470,2006
"108",5933,259020,2006
"109",5941,344475,2006
"110",5942,244815,2006
"111",5943,112665,2006
"112",5951,73025,2006
"113",5952,139875,2006
"114",5953,63205,2006
"115",6001,30245,2006
"116",6101,41460,2006
"117",6201,29440,2006
