"","Lowincome_LICO_total.HR_code","Lowincome_LICO_total.Nom","Lowincome_LICO_total.Den","Lowincome_LICO_total.Year"
"1",1011,19425,302795,2016
"2",1012,4145,84520,2016
"3",1013,4420,74135,2016
"4",1014,810,31650,2016
"5",1100,8650,136915,2016
"6",1211,3395,56325,2016
"7",1212,3180,54405,2016
"8",1223,5285,79330,2016
"9",1234,4250,71330,2016
"10",1235,2170,29220,2016
"11",1246,2720,42400,2016
"12",1247,2095,40735,2016
"13",1258,8235,108655,2016
"14",1269,39410,415925,2016
"15",1301,14375,202130,2016
"16",1302,13055,166445,2016
"17",1303,12000,167750,2016
"18",1304,2465,45700,2016
"19",1305,1755,23755,2016
"20",1306,3985,73435,2016
"21",1307,2790,54270,2016
"22",2401,9255,187155,2016
"23",2402,14200,266465,2016
"24",2403,58840,706785,2016
"25",2404,34530,487130,2016
"26",2405,22760,309190,2016
"27",2406,339690,1894990,2016
"28",2407,32595,374995,2016
"29",2408,6475,138065,2016
"30",2409,2830,80045,2016
"31",2410,440,13660,2016
"32",2411,3335,84860,2016
"33",2412,16390,407815,2016
"34",2413,34055,410845,2016
"35",2414,27675,483900,2016
"36",2415,35280,576835,2016
"37",2416,91930,1473025,2016
"38",2417,435,12890,2016
"39",2418,0,0,2016
"40",3526,7910,107700,2016
"41",3527,8210,131640,2016
"42",3530,38065,639380,2016
"43",3531,5020,87600,2016
"44",3533,7590,157340,2016
"45",3534,4110,107450,2016
"46",3535,7790,174050,2016
"47",3536,32040,538650,2016
"48",3537,64740,527930,2016
"49",3538,9815,155285,2016
"50",3539,2500,57820,2016
"51",3540,6740,99380,2016
"52",3541,13860,187920,2016
"53",3542,7650,121370,2016
"54",3543,7490,165990,2016
"55",3544,45830,448375,2016
"56",3546,32300,438155,2016
"57",3547,7910,118025,2016
"58",3549,2660,59225,2016
"59",3551,98915,916855,2016
"60",3552,4715,109160,2016
"61",3553,140030,1432845,2016
"62",3554,3450,75170,2016
"63",3555,14005,207030,2016
"64",3556,3920,76820,2016
"65",3557,4445,99695,2016
"66",3558,10375,196655,2016
"67",3560,27830,530020,2016
"68",3561,12315,187515,2016
"69",3562,10585,145530,2016
"70",3563,1945,31580,2016
"71",3565,38395,527340,2016
"72",3566,15445,292490,2016
"73",3568,34970,390810,2016
"74",3570,101275,1100695,2016
"75",3595,469330,2691665,2016
"76",4601,92320,705410,2016
"77",4602,9310,149325,2016
"78",4603,4795,110765,2016
"79",4604,2170,34005,2016
"80",4605,7620,177975,2016
"81",4701,1740,49015,2016
"82",4702,2705,47450,2016
"83",4703,1245,33090,2016
"84",4704,16005,263625,2016
"85",4705,2345,49605,2016
"86",4706,21365,332050,2016
"87",4707,1195,33595,2016
"88",4708,1650,36185,2016
"89",4709,4785,63315,2016
"90",4710,3355,60520,2016
"91",4711,915,9000,2016
"92",4712,385,5745,2016
"93",4713,45,1295,2016
"94",4831,15120,267465,2016
"95",4832,116510,1509130,2016
"96",4833,20160,431205,2016
"97",4834,103015,1287315,2016
"98",4835,16995,402300,2016
"99",5911,4170,78210,2016
"100",5912,5680,78635,2016
"101",5913,24545,335795,2016
"102",5914,14320,203715,2016
"103",5921,20820,279605,2016
"104",5922,87610,630850,2016
"105",5923,80665,771525,2016
"106",5931,35530,196660,2016
"107",5932,111640,632475,2016
"108",5933,27385,266935,2016
"109",5941,32925,367485,2016
"110",5942,20745,256695,2016
"111",5943,9225,116180,2016
"112",5951,3485,62705,2016
"113",5952,9295,134855,2016
"114",5953,3060,64390,2016
"115",6001,0,0,2016
"116",6101,0,0,2016
"117",6201,0,0,2016
